scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
Pradhan Mantri Jan Dhan Yojana,Government,19-60,All,All,Below Poverty Line,All India,Bank Accounts and Financial Inclusion,Open to all residents of India with valid ID,"Zero balance accounts, overdraft facility, debit card",Visit a bank branch or authorized agency to open an account,https://pmjdy.gov.in/,N/A,Lifetime
Mudra Yojana,Government,19-60,All,All,Below Poverty Line,All India,Microcredit for small businesses,Micro or small business owners or entrepreneurs,"Loan amounts up to INR 10 lakhs, collateral-free",Apply through banks or NBFCs with necessary documents,https://mudra.org.in/,Interest rate 8-15% depending on the loan term,Up to 5 years
Banking Correspondent Scheme,Government,18-60,All,All,All,Urban and Rural,Expand banking outreach,Individuals approved as banking correspondents by banks,Facilitate banking services in remote areas,Apply through a bank branch or regional office,https://rbi.org.in/,N/A,N/A
LIC Micro Insurance Policy,Private,18-60,All,All,Below Poverty Line,Rural and Urban,Micro Insurance Coverage,"Anyone below poverty line, residents of India","Life coverage, savings component, low premium",Buy through LIC agents or online,https://licindia.in/,N/A,N/A
Rupay Card Scheme,Private,All,All,All,All,All India,Digital Payment and Financial Inclusion,Anyone with a valid ID and bank account,"Secure digital transactions, cashback offers",Apply through bank or online portal,https://rupeeyojana.org/,N/A,N/A
Digital Financial Literacy Program,Government,15-35,All,All,All,Urban and Rural,Financial Literacy and Digital Awareness,"Students, youth, and adults interested in digital finance","Workshops, online courses, awareness campaigns",Register via website or local centers,https://financialliteracy.gov.in/,N/A,Ongoing
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank Account Access and Financial Literacy,All residents above 10 years,"Zero balance accounts, overdraft facilities",Visit a bank branch with proof of identity and address,https://pmjdy.gov.in/,N/A,Lifetime
Mahila Micro Credit Scheme,Government,19-35,Female,OBC,Below Poverty Line,Rural India,Microcredit for women entrepreneurs,Women above 18 with viable business plans,"Low-interest microloans, skill development support",Apply through local cooperative banks with business plan,https://microcredit.gov.in/,Interest rate 7% per annum,Up to 5 years
Private Wealth Growth Plan,Private,36-60,All,General,Upper,Urban India,Investment and Wealth Management,Individuals above 21 with stable income,"Customized investment options, wealth advisory",Online registration via official website,https://privatewealth.in/,Interest rate 5-8% depending on investment type,N/A
Senior Citizens Pension Scheme,Government,60+,All,All,Middle,All India,Pension and Financial Security,Senior citizens with verified age proof,"Monthly pension, healthcare support discounts",Apply through designated government offices or online portal,https://seniorscheme.gov.in/,Monthly pension up to INR 3000,Lifetime
StartUp India Investment Scheme,Government,19-35,All,All,Middle,All India,Supporting startup funding and mentorship,Startup founders with valid business plans,"Seed funding, mentorship, incubation support",Register on official portal with business details,https://startupindia.gov.in/,N/A,N/A
Financial Literacy Campaigns by Private Firms,Private,"6-18,19-35,36-60,60+",All,All,All,Urban and Rural India,Raising awareness about financial products and literacy,Open to all residents,"Enhanced financial knowledge, better savings and investment decisions",Participation through community outreach programs or online events,https://finliteracyprivatescheme.com/,N/A,Ongoing
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank Account Opening and Financial Inclusion,Anyone aged 6 and above who is not already banked,"Zero balance accounts, insurance benefits, overdraft facilities",Visit local bank branch or online registration,https://pmjdy.gov.in/,N/A,Lifetime
Vishesh Shiksha Loan Scheme,Private,19-35,All,OBC,Middle,Urban,Education Loan for Higher Studies,Candidates with admission letter to recognized institutions,"Low interest rates, flexible repayment options",Apply online through partner bank portals,https://visheshshiksha.in/,Interest rate 7-9%,Up to 10 years
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child girl education and marriage fund,Parents or guardians of girl children under 10,"Tax benefits, compound interest, financial security for girl child",Open account at designated bank branches or post offices,https://sukanyayojana.com/,Approx. 8% interest compounded annually,Lifetime till girl turns 21
Microcredit for Rural Entrepreneurs,Private,19-60,Male,OBC,Below Poverty Line,Rural Areas,Microcredit for Small Business Development,Rural residents with viable business plan,"Access to small loans, financial training, market linkage",Application through local microfinance institutions,https://microcreditrural.in/,Interest rate 10-12%,1-5 years
National Pension System (NPS),Government,36-60,All,All,Middle,All India,Retirement savings and pension,All Indian citizens aged 18-60,"Tax benefits, market-linked returns, flexible contribution",Register online or through authorized financial advisors,https://npscra.nsdl.co.in/,"Varies, typically 8-10% depending on market conditions",Lifetime till death
Financial Literacy Campaigns,Government,All,All,All,All,All Regions,Promoting financial literacy and awareness,Open to all citizens,"Increased awareness, better financial decision making, empowerment",Participate through local government programs or online campaigns,https://financialliteracy.gov.in/,N/A,Ongoing
Prime Minister Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Savings and Banking Access,Open to all citizens with valid ID proof,"Zero balance accounts, accident insurance, and financial literacy programs",Visit nearest bank branch or online portal and fill out application form,https://pmjdy.gov.in,N/A,Lifetime
Mahila Microcredit Scheme,Government,19-35,Female,OBC,Below Poverty Line,Rural Areas of Bihar,Microcredit for women entrepreneurs,"Women aged 19-35, owning small businesses or aspiring entrepreneurs","Low-interest microloans, business training, and mentorship","Online or at local rural development offices, submitting business plan and ID proof",https://bihar.gov.in/microcredit,"Interest rate 8% per annum, repayable in monthly installments over 3 years",3 years
