scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Banking and Financial Inclusion,Open to all residents of India with valid identity proof,"Free zero-balance bank accounts, Debit cards, Insurance",Visit bank branch with ID proof or apply online,https://pmjdy.gov.in,N/A,Lifetime
Stand Up India Scheme,Government,19-35,All,OBC,Below Poverty Line,India,Microcredit for SC/ST and Women Entrepreneurs,Entrepreneurs from SC/ST or women with project proposals,"Bank loan with concessional interest rate, mentoring support",Submit project proposal at selected bank branches,https://standupmitra.in,Interest rate 8-12%,Up to 7 years
Banking Correspondent Model,Private,All,All,All,All,Rural India,Extending banking services to rural areas,Banking institutions authorized as correspondents,Access to banking services in remote areas,Partnership with authorized banks,https://bankingcorrespondent.gov.in,N/A,N/A
MicroSave Financial Literacy Campaign,Private,19-60,All,All,All,Urban and Rural,Financial Literacy and Awareness,"Open to all, especially underserved communities",Enhanced financial awareness and literacy,"Community outreach programs, online registration",https://microsave.org,N/A,Ongoing
Vikash Microfinance Initiative,Private,19-60,Female,OBC,Middle,Urban India,Microcredit for Women Entrepreneurs,Women with small business proposals,"Micro loans at concessional rates, business training",Application at partner microfinance institutions,https://vikashmicrofinance.in,Interest rate 10-15%,Up to 5 years
Sampoorna Suraksha Bima,Government,36-60,All,General,Middle,India,Life Insurance Coverage,All residents of India aged 36-60,"Life cover, accident protection",Online or at designated insurance offices,https://sampoorna-suraksha.in,N/A,Lifetime
Rural Savings Scheme,Government,6-18,All,All,Below Poverty Line,Rural India,Encourage Savings in Rural Areas,Residents of rural India,"Interest on savings, financial security",Visit local bank branch or post office,https://ruralsavings.gov.in,Interest rate 4-6%,Lifetime
Youth Investment Plan,Private,19-35,All,General,Middle,Urban India,Encouraging Youth Investment in Financial Markets,Young adults with bank accounts,"Guidance on investments, reduced brokerage fees",Register online or through partner brokerages,https://youthinvestment.in,Variable based on investments,N/A
Senior Citizen Saving Scheme,Government,60+,All,All,Upper,India,Retirement Savings and Security,Indian residents aged 60 and above,"Interest at 8%, tax benefits, assured returns",Apply at bank branches or online,https://scss.gov.in,Interest rate 8% per annum,"5 years, extendable"
Innovative Microfinance Loan Program,Private,19-60,Other,Minority,Middle,Urban India,Microfinance for Minority Entrepreneurs,Minority entrepreneurs with business plans,"Micro loans, business development support",Apply through partner microfinance firms,https://microfinance.innovate,Interest 10-14%,Up to 3 years
