scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval
Janashree Bima Yojana,Government,19-35,All,All,Below Poverty Line,All India,Insurance,Any citizen below poverty line,Accident and death insurance cover,Apply through local banks or insurance offices,http://janashreebima.gov.in,N/A,1 year,N/A,N/A
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,Urban and Rural India,Housing,Low income families,Housing subsidy and financial assistance,Online application or local government office,http://pmay.gov.in,N/A,N/A,N/A,N/A
Micro Units Development Scheme,Private,36-60,All,OBC,Middle,Rural India,Microcredit,Micro-entrepreneurs,Access to microloans for small business,Visit local microfinance institutions,http://mudra.org.in,Interest rate 12-15%,5 years,"Up to 50,000 INR",Monthly
National Pension Scheme,Government,60+,All,All,Upper,All India,Pension,Salaried individuals over 60,Monthly pension benefits,Register through authorized banks,http://npstrust.org.in,"Interest rate varies, 8-10% estimated",Lifetime,N/A,Monthly
Digital Financial Literacy Program,Government,19-35,All,All,All,All India,Financial Literacy,Open to all residents,Enhanced financial awareness and literacy,Online registration,http://finlit.gov.in,N/A,6 months,N/A,N/A
Small Savings Deposit Scheme,Government,All,All,All,All,All India,Savings,Any individual,Interest income and savings growth,Visit post offices or banks,http://savings.gov.in,Interest rate 4-7%,N/A,Minimum 100 INR,One-time or N/A
Women Self-Help Groups Funding,Private,19-60,Female,OBC,Middle,Rural India,Microcredit and empowerment,Women in SHGs,Access to loans and capacity building,Apply through local SHG federation,http://shgfund.org.in,Interest rate 10-14%,3 years,Up to 2 lakh INR,Monthly
Senior Citizens Savings Scheme,Government,60+,All,All,All,All India,Savings and Retirement Planning,Senior citizens,Interest income with tax benefits,Apply at banks or post offices,http://savingsscheme.gov.in,Interest rate 7.4%,5 years,Minimum 1000 INR,Quarterly
Rural Business Development Fund,Private,36-60,All,SC,Middle,Rural India,Microcredit and Business Development,Small rural entrepreneurs,Low-interest loans for business growth,Application at designated rural banks,http://ruralbank.org.in,Interest rate 9-11%,4 years,Up to 10 lakh INR,Monthly
Educational Loan Scheme for Minority Students,Government,19-35,All,Minority,Below Poverty Line,All India,Education,Minority students pursuing higher education,Educational loans with subsidized interest,Application through designated banks,http://eduloan.gov.in,Interest rate 5-8%,N/A,Up to 20 lakh INR,Monthly
Start-up Incubation Support,Private,19-35,All,All,Middle,Urban India,Entrepreneurship and Innovation,Start-ups and entrepreneurs,"Funding, mentorship, and infrastructure support",Online application through official portal,http://startup.in,N/A,N/A,N/A,N/A
Agricultural Insurance Scheme,Government,19-60,All,All,All,Rural India,Insurance,Farmers and agricultural workers,Crop loss coverage and compensation,File claim at local agriculture office,http://agriinsurance.gov.in,N/A,N/A,Premiums vary,Annual
Health Coverage for Low-Income Families,Government,"0-5,6-18,19-35,36-60,60+",All,All,Below Poverty Line,All India,Health Insurance,Low-income families,Free or subsidized health services,Register at local health centers,http://healthcoverage.gov.in,N/A,N/A,N/A,N/A
Private Investment in Rural Banking,Private,36-60,All,All,Upper,Rural India,Banking and Investment,Private investors,Enhanced rural banking infrastructure,Direct investment or partnership,http://ruralbankinvestment.org.in,Interest rate 8-10%,2 years,Varies by investment,N/A
Skill Development Initiative for Youth,Government,19-35,All,All,All,All India,Skill Development,Youth seeking employment or skill upgrade,Training and certification support,Online registration or local centers,http://skills.gov.in,N/A,6 months to 2 years,N/A,N/A
Urban Microfinance Program,Private,19-60,All,All,Middle,Urban India,Microcredit,Urban micro-entrepreneurs,Small loans for business expansion,Apply through microfinance institutions,http://urbanmicrofinance.org.in,Interest rate 12-15%,3 years,Up to 3 lakh INR,Monthly
Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,India,Savings and Financial Inclusion,All Indian citizens above 10 years of age with valid identity proof,"Zero balance accounts, insurance, and debit cards",Visit nearby bank branch or KYC online,https://www.pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Pradhan Mantri Awas Yojana,Government,36-60,All,All,Middle,Urban and Rural India,Housing for All,"EWS, LIG, MIG categories, with income proof",Subsidized loans and financial assistance for housing,Apply through local government offices or online portal,https://www.mohua.gov.in,N/A,Up to 20 years,Subsidized interest rates,Monthly
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,India,Child Education and Marriage Fund,Parents or guardians of girl child,"Tax benefits, high interest rate, maturity benefits",Open account at designated bank or post office,https://sukanyayojana.com,Interest rate 7.6% p.a.,Until girl turns 21 or 18 for marriage,Minimum Rs.250/year,Yearly
Apna Digital Saksharta Abhiyan,Government,All,All,All,All,India,Digital Literacy,All citizens above 14 years of age,"Digital skills training, internet access points",Register at local Digital Literacy centers,https://digitalliteracy.gov.in,N/A,3 months to 1 year,N/A,N/A
Microfinance for Women,Private,19-60,Female,OBC,Below Poverty Line,Rural India,Microcredit for Women Entrepreneurs,Women with business plan or small enterprise,"Low-interest microloans, skill development support",Application at local microfinance institutions or online,https://microfinance.org.in,Interest rates 12-15% p.a.,1-3 years,Monthly installments,Monthly
Private Health Insurance Plan,Private,All,All,All,Middle,Urban India,Health Coverage and Insurance,All residents with valid identity proof,"Cashless treatment, wide network hospitals",Apply online or via insurance agents,https://privatehealthinsurance.com,N/A,1 year renewal,Rs.5000-Rs.20000 annually,Annual
Rural Savings and Credit Scheme,Government,36-60,All,All,Below Poverty Line,Rural India,Savings and Microcredit,"Rural residents, small farmers, artisans","Microfinance, savings accounts, financial literacy sessions",Visit local bank branch or cooperative society,https://ruralsavings.gov.in,Interest rate 4-6% p.a.,5 years,N/A,Quarterly
Senior Citizens Pension Scheme,Government,60+,All,All,Middle,India,Pension for Senior Citizens,Citizens above 60 with minimum pension proof,"Monthly pension, healthcare discounts",Apply at local government offices or online,https://seniorscheme.gov.in,Monthly pension amount based on contribution,Lifetime,Varies by scheme,Monthly
Smart Start Business Fund,Private,19-45,All,OBC,Upper,Urban India,Startup Funding and Support,Young entrepreneurs with innovative business ideas,"Seed funding, mentorship, networking opportunities",Online application through portal or business incubators,https://smartstartbiz.com,Equity or repayable loans,3-5 years,"N/A for grants, or as per loan agreement",N/A
Financial Literacy for Students,Government,6-18,All,All,All,India,Financial Literacy and Education,School students across India,"Curriculum-based financial education, workshops","School registration, then student participation",https://financialliteracy.gov.in,N/A,Ongoing,N/A,N/A
Venture Capital Support Program,Private,25-45,All,All,Upper,Urban India,Venture Capital Funding,Startups with innovative ideas and business plans,"Equity funding, mentorship, networking",Apply through the official portal or incubators,https://venturecapital.in,Equity stake or returns as per investment terms,5-7 years,N/A for equity investors,N/A
Apna Rozgar Yojana,Government,19-35,All,All,Middle,India,Employment Generation and Skill Development,Unemployed youth with skill training certificates,"Job placement assistance, skill development, stipend support",Register at local employment offices or online,https://apnarozgar.gov.in,N/A,1-3 years,N/A,N/A
Financial Inclusion via Digital Payments,Government,All,All,All,All,India,Promote Digital Payments and Transactions,All citizens with bank accounts or mobile wallets,"Cashback offers, easy transfer, transaction security",Link bank account or mobile wallet to the scheme app or portal,https://digitalpayments.gov.in,N/A,Ongoing,N/A,N/A
Skill Development and Training for Youth,Government,19-35,All,All,Middle,India,Skill Enhancement and Employment,Unemployed youth with basic education,"Skill certifications, job placements, stipend support",Apply through designated training centers or online,https://skilldevelopment.gov.in,N/A,6 months to 2 years,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,Nationwide,Bank Account Access and Financial Inclusion,Open to all citizens above 10 years old,"Zero balance accounts, overdraft facilities, debit cards",Visit a bank branch or designated agency with ID proof,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Mahila Microcredit Initiative,Private,19-35,Female,OBC,Below Poverty Line,Rural India,Microcredit for Women Entrepreneurs,Women aged 19-35 with business idea or existing enterprise,"Low-interest microloans, business training, mentorship",Application through partner NGOs or banking channels,https://microcredit.gov.in/,Interest rate 10-15% annually,3-5 years,Variable based on loan size,Monthly
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,Nationwide,Child girl education and savings,Parents or guardians of girl children up to age 10,"Interest compounded quarterly, tax benefits, maturity amount in INR",Open account at authorized banks or post offices,https://sukanyasamriddhi.gov.in/,Interest rate 7.6% compounded quarterly,21 years or upon girl’s 21st birthday,"Minimum Rs.250, Maximum Rs.1.5 lakh annually",Quarterly
Senior Citizens Savings Scheme,Government,60+,All,All,All,Nationwide,Retirement savings,Indian resident aged 60 or above,"Interest at 7.4%, tax benefits under 80C, deposit up to Rs.15 lakh",Visit bank or post office with ID and age proof,https://india.gov.in/SCSS,"Interest rate 7.4% (current), compounded quarterly","5 years, renewable","Minimum Rs.1000, maximum Rs.15 lakh",Monthly or quarterly
Rural Electrification Microcredit,Private,All,All,All,Below Poverty Line,Rural India,Microfinance for rural electrification projects,Rural households or entrepreneurs interested in electrification projects,"Low-interest loans, technical support",Application via local rural development agencies,https://ruralmicrocredit.gov.in/,Interest rate 12% annually,2-4 years,Variable based on project size,Monthly
Apna Bank Yojana,Private,19-60,All,General,Middle,Urban India,Personal banking and savings,Urban residents aged 19-60 with proof of residence,"Personalized banking services, savings accounts, loans",Open account at bank branches or online,https://apnabank.gov.in/,N/A,N/A,N/A,N/A
Skill Development Financial Support,Government,19-35,All,All,Middle,All India,Financial support for skill development courses,Individuals aged 19-35 pursuing skill courses,"Subsidized loan interest, stipends during training",Application through government portals or training institutes,https://skilldev.gov.in/,Interest rate 8-10%,1-3 years,Interest plus principal after training,Quarterly
Youth Financial Literacy Initiative,Government,15-25,All,All,All,Nationwide,Financial literacy and awareness,Students and young adults,"Workshops, online modules, certification",Register online or at local centers,https://finliteracy.gov.in/,N/A,Ongoing,N/A,N/A
Micro Business Growth Fund,Private,25-45,All,OBC,Middle,Urban and Rural India,Funding for small and micro enterprises,"Small business owners, entrepreneurs","Equity or debt funding, business mentoring",Online application via portal or partner banks,https://microfund.gov.in/,Interest rate 9-14% or equity gains,3-7 years,Variable depending on scheme type,Monthly or Annually
Affordable Housing Finance Scheme,Government,36-60,All,All,Middle,Urban India,Housing finance for middle income families,"Middle-income group, proof of income","Low-interest loans, extended repayment period",Apply at designated banks or housing agencies,https://housingfinance.gov.in/,"Interest rate 8-9%, in INR",15-20 years,Loan amount depends on property value,Monthly
Entrepreneurship Development Support,Private,19-45,All,All,All,Urban and Rural,Support to aspiring entrepreneurs,Individuals with viable business ideas or startups,"Funding, mentorship, business development services",Application through incubation centers or banks,https://entrepreneurship.gov.in/,"Variable, depends on scheme structure",1-5 years,Based on repayment terms,Monthly or Quarterly
Digital India Financial Inclusion,Government,All,All,All,All,Nationwide,Promotion of digital payments and financial access,All citizens with mobile or bank account,"Digital transaction support, reduced cash handling",Register via digital platforms or banks,https://digitalindia.gov.in/,N/A,Ongoing,N/A,N/A
Pradhan Mantri Jan-Dhan Yojana,Government,19-35,All,All,Below Poverty Line,India,Savings and Banking Inclusion,Open to all citizens with valid ID,"Zero balance accounts, Overdraft facility",Visit bank branch or online portal,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Aadhaar Seeding Initiative,Government,"0-5,6-18,19-35,36-60,60+",All,All,All,India,Identity verification for financial services,Mandatory Aadhaar registration,"Simplified KYC process, Faster services",Register through government portal or UIDAI centers,https://uidai.gov.in/,N/A,Ongoing,N/A,N/A
Microfinance for Women,Private,19-60,Female,OBC,Below Poverty Line,Rural,Microcredit for women entrepreneurs,Women entrepreneurs with small business,"Low-interest microloans, Business training",Apply through local cooperative banks or NGOs,https://microfinance.gov.in/,Interest rate 8-12% per annum,1-5 years,"Variable, based on loan amount",Monthly
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,India,Girl child savings and financial security,Parents or guardians can open account for girl child,"Higher interest rates, Tax benefits",Visit bank branch or post office,https://sukanyaandss.gov.in/,Interest rate ~7.6%,Up to 21 years from account opening,N/A,Monthly or Annually
Startup India Fund,Government,19-35,All,All,Middle,All states,"Support startup ecosystem, Microcredit",Startups registered within 1 year,"Grants, Tax exemptions, Funding",Online registration and approval,https://startupindia.gov.in/,N/A,N/A,N/A,N/A
Rural Electronic Welfare Scheme,Government,All,All,All,Below Poverty Line,Rural areas,Financial literacy and digital banking access,Rural residents without banking access,"Free digital training, Account opening support",Visit local banking branch or digital centers,https://ruralwelfare.gov.in/,N/A,Ongoing,N/A,N/A
Private Insurance Plus,Private,"36-60,60+",All,General,Upper,Urban,Health and life insurance,Working professionals and seniors,"Comprehensive coverage, Quick claim settlement",Apply online or via agents,https://privateinsurancedomain.com/,N/A,1-10 years,"Variable, based on plan","Monthly, Quarterly, Annually"
Youth Financial Literacy Program,Private,19-35,All,All,All,Urban and Semi-urban,Financial literacy and awareness,"Students, young professionals","Workshops, Online courses, Awareness campaigns",Register through partner institutions or online,https://financialliteracy.org.in/,N/A,Ongoing,N/A,N/A
Senior Citizen Pension Scheme,Government,60+,All,All,All,All regions,Retirement pension and financial security,Citizens above 60 years,"Monthly pension, Healthcare benefits",Apply through local government offices,https://seniorpension.gov.in/,N/A,Lifetime,N/A,Monthly
Startup Microcredit Scheme,Private,19-35,All,OBC,Middle,Urban and Rural,Microfinance for startups and small businesses,Registered startups or small businesses,"Low-interest loans, Business mentoring",Apply via partner banks or online portal,https://microstartups.in/,Interest rate 9-13% per annum,1-3 years,"Variable, depending on loan size",Monthly
