scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,scheme_name_hi,scheme_name_mr,scheme_goal_hi,scheme_goal_mr,eligibility_hi,eligibility_mr,benefits_hi,benefits_mr,application_process_hi,application_process_mr,total_returns_hi,total_returns_mr,time_duration_hi,time_duration_mr
Pradhan Mantri Jan Dhan Yojana,Government,19-60,All,All,Below Poverty Line,All India,Bank Accounts and Financial Inclusion,Open to all residents of India with valid ID,"Zero balance accounts, overdraft facility, debit card",Visit a bank branch or authorized agency to open an account,https://pmjdy.gov.in/,,Lifetime,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,बैंक खाते और वित्तीय समावेशन,बँक खाती आणि आर्थिक समावेश,वैध आईडी के साथ भारत के सभी निवासियों के लिए खुला,वैध आयडीसह भारताच्या सर्व रहिवाशांसाठी खुला,"शून्य शेष खाते, ओवरड्राफ्ट सुविधा, डेबिट कार्ड","शून्य शिल्लक खाती, ओव्हरड्राफ्ट सुविधा, डेबिट कार्ड",खाता खोलने के लिए एक बैंक शाखा या अधिकृत एजेंसी पर जाएँ,खाते उघडण्यासाठी बँक शाखा किंवा अधिकृत एजन्सीला भेट द्या,,,जीवनभर,आजीवन
Mudra Yojana,Government,19-60,All,All,Below Poverty Line,All India,Microcredit for small businesses,Micro or small business owners or entrepreneurs,"Loan amounts up to INR 10 lakhs, collateral-free",Apply through banks or NBFCs with necessary documents,https://mudra.org.in/,Interest rate 8-15% depending on the loan term,Up to 5 years,Mudra Yojana,पैसा योजना,छोटे व्यवसायों के लिए microcredit,छोट्या व्यवसायांसाठी मायक्रोक्रेडिट,सूक्ष्म या छोटे व्यवसाय के मालिक या उद्यमी,सूक्ष्म किंवा लहान व्यवसाय मालक किंवा उद्योजक,"INR 10 लाख तक ऋण राशि, संपार्श्विक-मुक्त","आयएनआर 10 लाखांपर्यंत कर्जाची रक्कम, संपार्श्विक-मुक्त",आवश्यक दस्तावेजों के साथ बैंकों या एनबीएफसी के माध्यम से आवेदन करें,आवश्यक कागदपत्रांसह बँक किंवा एनबीएफसीद्वारे अर्ज करा,ऋण अवधि के आधार पर ब्याज दर 8-15%,कर्जाच्या मुदतीनुसार व्याज दर 8-15%,5 साल तक,5 वर्षांपर्यंत
Banking Correspondent Scheme,Government,18-60,All,All,All,Urban and Rural,Expand banking outreach,Individuals approved as banking correspondents by banks,Facilitate banking services in remote areas,Apply through a bank branch or regional office,https://rbi.org.in/,,,बैंकिंग संवाददाता योजना,बँकिंग वार्ताहर योजना,बैंकिंग आउटरीच का विस्तार करें,बँकिंग पोहोच वाढवा,बैंकों द्वारा बैंकिंग संवाददाताओं के रूप में अनुमोदित व्यक्ति,बँकांद्वारे बँकिंग प्रतिनिधी म्हणून मंजूर व्यक्ती,दूरदराज के क्षेत्रों में बैंकिंग सेवाओं की सुविधा,दुर्गम भागात बँकिंग सेवा सुलभ करा,एक बैंक शाखा या क्षेत्रीय कार्यालय के माध्यम से आवेदन करें,बँक शाखा किंवा प्रादेशिक कार्यालयातून अर्ज करा,,,,
LIC Micro Insurance Policy,Private,18-60,All,All,Below Poverty Line,Rural and Urban,Micro Insurance Coverage,"Anyone below poverty line, residents of India","Life coverage, savings component, low premium",Buy through LIC agents or online,https://licindia.in/,,,लाइसेंस सूक्ष्म बीमा पॉलिसी,एलईसी मायक्रो विमा पॉलिसी,सूक्ष्म बीमा कवरेज,सूक्ष्म विमा संरक्षण,"गरीबी रेखा से नीचे कोई भी, भारत के निवासियों","दारिद्र्य रेषेखालील कोणीही, भारताचे रहिवासी","जीवन कवरेज, बचत घटक, कम प्रीमियम","लाइफ कव्हरेज, बचत घटक, लो प्रीमियम",लाइसेंस एजेंटों या ऑनलाइन के माध्यम से खरीदें,एलआयसी एजंट्स किंवा ऑनलाइन खरेदी करा,,,,
Rupay Card Scheme,Private,All,All,All,All,All India,Digital Payment and Financial Inclusion,Anyone with a valid ID and bank account,"Secure digital transactions, cashback offers",Apply through bank or online portal,https://rupeeyojana.org/,,,रूपे कार्ड योजना,रुपय कार्ड योजना,अंकीय भुगतान और वित्तीय समावेशन,डिजिटल पेमेंट आणि आर्थिक समावेश,एक वैध आईडी और बैंक खाते के साथ कोई भी,वैध आयडी आणि बँक खाते असलेले कोणीही,"सुरक्षित डिजिटल लेनदेन, कैशबैक ऑफ़र","डिजिटल व्यवहार, कॅशबॅक ऑफर सुरक्षित करा",बैंक या ऑनलाइन पोर्टल के माध्यम से आवेदन करें,बँक किंवा ऑनलाइन पोर्टलद्वारे अर्ज करा,,,,
Digital Financial Literacy Program,Government,15-35,All,All,All,Urban and Rural,Financial Literacy and Digital Awareness,"Students, youth, and adults interested in digital finance","Workshops, online courses, awareness campaigns",Register via website or local centers,https://financialliteracy.gov.in/,,Ongoing,अंकीय वित्तीय साक्षरता कार्यक्रम,डिजिटल आर्थिक साक्षरता कार्यक्रम,वित्तीय साक्षरता और डिजिटल जागरूकता,आर्थिक साक्षरता आणि डिजिटल जागरूकता,"डिजिटल वित्त में रुचि रखने वाले छात्र, युवा और वयस्क","विद्यार्थी, तरुण आणि प्रौढ डिजिटल फायनान्समध्ये रस","कार्यशालाएं, ऑनलाइन पाठ्यक्रम, जागरूकता अभियान","कार्यशाळा, ऑनलाइन अभ्यासक्रम, जागरूकता मोहिम",वेबसाइट या स्थानीय केंद्रों के माध्यम से पंजीकरण करें,वेबसाइट किंवा स्थानिक केंद्रांद्वारे नोंदणी करा,,,चल रहे,चालू आहे
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank Account Access and Financial Literacy,All residents above 10 years,"Zero balance accounts, overdraft facilities",Visit a bank branch with proof of identity and address,https://pmjdy.gov.in/,,Lifetime,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,बैंक खाता पहुंच और वित्तीय साक्षरता,बँक खाते प्रवेश आणि आर्थिक साक्षरता,10 साल से ऊपर के सभी निवासी,10 वर्षांपेक्षा जास्त रहिवासी सर्व रहिवासी,"शून्य शेष खाते, ओवरड्राफ्ट सुविधाएं","शून्य शिल्लक खाती, ओव्हरड्राफ्ट सुविधा",पहचान और पते के प्रमाण के साथ एक बैंक शाखा पर जाएँ,ओळख आणि पत्त्याचा पुरावा असलेल्या बँक शाखेत भेट द्या,,,जीवनभर,आजीवन
Mahila Micro Credit Scheme,Government,19-35,Female,OBC,Below Poverty Line,Rural India,Microcredit for women entrepreneurs,Women above 18 with viable business plans,"Low-interest microloans, skill development support",Apply through local cooperative banks with business plan,https://microcredit.gov.in/,Interest rate 7% per annum,Up to 5 years,महिला माइक्रो क्रेडिट योजना,माहिला मायक्रो क्रेडिट योजना,महिला उद्यमियों के लिए microcredit,महिला उद्योजकांसाठी मायक्रोक्रेडिट,व्यवहार्य व्यावसायिक योजनाओं के साथ 18 से ऊपर की महिलाएं,व्यवहार्य व्यवसाय योजनांसह 18 वर्षांपेक्षा जास्त महिला,"कम-ब्याज वाले माइक्रोलोन, कौशल विकास सहायता","कमी व्याज मायक्रोलोन्स, कौशल्य विकास समर्थन",व्यवसाय योजना के साथ स्थानीय सहकारी बैंकों के माध्यम से आवेदन करें,व्यवसाय योजनेसह स्थानिक सहकारी बँकांद्वारे अर्ज करा,ब्याज दर 7% प्रति वर्ष,व्याज दर वार्षिक 7%,5 साल तक,5 वर्षांपर्यंत
Private Wealth Growth Plan,Private,36-60,All,General,Upper,Urban India,Investment and Wealth Management,Individuals above 21 with stable income,"Customized investment options, wealth advisory",Online registration via official website,https://privatewealth.in/,Interest rate 5-8% depending on investment type,,निजी धन वृद्धि योजना,खाजगी संपत्ती वाढीची योजना,निवेश और धन प्रबंधन,गुंतवणूक आणि संपत्ती व्यवस्थापन,स्थिर आय के साथ 21 से ऊपर के व्यक्ति,स्थिर उत्पन्नासह 21 वरील व्यक्ती,"अनुकूलित निवेश विकल्प, धन सलाहकार","सानुकूलित गुंतवणूकीचे पर्याय, संपत्ती सल्लागार",आधिकारिक वेबसाइट के माध्यम से ऑनलाइन पंजीकरण,अधिकृत वेबसाइटद्वारे ऑनलाइन नोंदणी,निवेश प्रकार के आधार पर ब्याज दर 5-8%,गुंतवणूकीच्या प्रकारानुसार व्याज दर 5-8%,,
Senior Citizens Pension Scheme,Government,60+,All,All,Middle,All India,Pension and Financial Security,Senior citizens with verified age proof,"Monthly pension, healthcare support discounts",Apply through designated government offices or online portal,https://seniorscheme.gov.in/,Monthly pension up to INR 3000,Lifetime,वरिष्ठ नागरिक पेंशन योजना,ज्येष्ठ नागरिक पेन्शन योजना,पेंशन और वित्तीय सुरक्षा,पेन्शन आणि आर्थिक सुरक्षा,सत्यापित आयु प्रमाण वाले वरिष्ठ नागरिक,सत्यापित वय पुरावा असलेले ज्येष्ठ नागरिक,"मासिक पेंशन, स्वास्थ्य सेवा सहायता छूट","मासिक पेन्शन, हेल्थकेअर समर्थन सूट",नामित सरकारी कार्यालयों या ऑनलाइन पोर्टल के माध्यम से आवेदन करें,नियुक्त सरकारी कार्यालये किंवा ऑनलाइन पोर्टलद्वारे अर्ज करा,INR 3000 तक मासिक पेंशन,आयएनआर 3000 पर्यंत मासिक पेन्शन,जीवनभर,आजीवन
