scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval,scheme_name_hi,scheme_name_mr,scheme_goal_hi,scheme_goal_mr,eligibility_hi,eligibility_mr,benefits_hi,benefits_mr,application_process_hi,application_process_mr,total_returns_hi,total_returns_mr,time_duration_hi,time_duration_mr
Janashree Bima Yojana,Government,19-35,All,All,Below Poverty Line,South India,Insurance,Any citizen below poverty line,Accident and death insurance cover,Apply through local banks or insurance offices,http://janashreebima.gov.in,Annual return 4-6%,1 year,,,सार्वजनिक किरण योजना,सार्वजनिक बीम योजना,बीमा,विमा,गरीबी रेखा से नीचे कोई भी नागरिक,दारिद्र्य रेषेखालील कोणताही नागरिक,दुर्घटना और मृत्यु बीमा कवर,अपघात आणि मृत्यू विमा संरक्षण,स्थानीय बैंकों या बीमा कार्यालयों के माध्यम से आवेदन करें,स्थानिक बँका किंवा विमा कार्यालयांद्वारे अर्ज करा,वार्षिक रिटर्न 5-7%,वार्षिक परतावा 4-6%,1 वर्ष,1 वर्ष
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,Rajasthan,Housing,Low income families,Housing subsidy and financial assistance,Online application or local government office,http://pmay.gov.in,Annual return 4-6%,,,,Pradhan Mantri Awas Yojana,पंतप्रधान गृहनिर्माण योजना,आवास,गृहनिर्माण,कम आय वाले परिवार,कमी उत्पन्न कुटुंब,आवास सब्सिडी और वित्तीय सहायता,गृहनिर्माण अनुदान आणि आर्थिक सहाय्य,ऑनलाइन आवेदन या स्थानीय सरकारी कार्यालय,ऑनलाइन अर्ज किंवा स्थानिक शासकीय कार्यालय,ब्याज दर 8-12%,वार्षिक परतावा 5-7%,,
Micro Units Development Scheme,Private,36-60,All,OBC,Middle,Uttar Pradesh,Microcredit,Micro-entrepreneurs,Access to microloans for small business,Visit local microfinance institutions,http://mudra.org.in,Interest rate 12-15%,5 years,"Up to 50,000 INR",Monthly,माइक्रो यूनिट विकास योजना,मायक्रो युनिट्स डेव्हलपमेंट स्कीम,माइक्रोक्रेडिट,मायक्रोक्रेडिट,माइक्रो-उद्यमियों,मायक्रो-एन्ट्रीप्रेनर्स,छोटे व्यवसाय के लिए माइक्रोलोन तक पहुंच,छोट्या व्यवसायासाठी मायक्रोलोन्समध्ये प्रवेश,स्थानीय माइक्रोफाइनेंस संस्थानों पर जाएं,स्थानिक मायक्रोफायनान्स संस्थांना भेट द्या,ब्याज दर 12-15%,व्याज दर 12-15%,5 साल,5 वर्षे
National Pension Scheme,Government,60+,All,All,Upper,Delhi,Pension,Salaried individuals over 60,Monthly pension benefits,Register through authorized banks,http://npstrust.org.in,"Interest rate varies, 8-10% estimated",Lifetime,,Monthly,राष्ट्रीय पेंशन योजना,राष्ट्रीय पेन्शन योजना,पेंशन,पेन्शन,60 से अधिक लोगों को वेतनभोगी,60 पेक्षा जास्त पगारदार व्यक्ती,मासिक पेंशन लाभ,मासिक पेन्शन लाभ,अधिकृत बैंकों के माध्यम से पंजीकरण करें,अधिकृत बँकांद्वारे नोंदणी करा,"ब्याज दर भिन्न होती है, 8-10% अनुमानित","व्याज दर बदलतो, अंदाजे 8-10%",जीवनभर,आजीवन
Digital Financial Literacy Program,Government,19-35,All,All,All,Delhi,Financial Literacy,Open to all residents,Enhanced financial awareness and literacy,Online registration,http://finlit.gov.in,Annual return 4-6%,6 months,,,अंकीय वित्तीय साक्षरता कार्यक्रम,डिजिटल आर्थिक साक्षरता कार्यक्रम,वित्तीय साक्षरता,आर्थिक साक्षरता,सभी निवासियों के लिए खुला,सर्व रहिवाशांसाठी उघडा,बढ़ी हुई वित्तीय जागरूकता और साक्षरता,वर्धित आर्थिक जागरूकता आणि साक्षरता,ऑनलाइन पंजीकरण,ऑनलाइन नोंदणी,वार्षिक रिटर्न 5-7%,वार्षिक परतावा 4-6%,6 महीने,6 महिने
Small Savings Deposit Scheme,Government,All,All,All,All,Gujarat,Savings,Any individual,Interest income and savings growth,Visit post offices or banks,http://savings.gov.in,Interest rate 4-7%,,Minimum 100 INR,One-time or N/A,अल्प बचत जमा योजना,लहान बचत ठेव योजना,बचत,बचत,कोई व्यक्ति,कोणतीही व्यक्ती,ब्याज आय और बचत वृद्धि,व्याज उत्पन्न आणि बचत वाढ,डाकघर या बैंकों पर जाएँ,पोस्ट ऑफिस किंवा बँकांना भेट द्या,ब्याज दर 4-7%,व्याज दर 4-7%,,
Women Self-Help Groups Funding,Private,19-60,Female,OBC,Middle,Jammu & Kashmir,Microcredit and empowerment,Women in SHGs,Access to loans and capacity building,Apply through local SHG federation,http://shgfund.org.in,Interest rate 10-14%,3 years,Up to 2 lakh INR,Monthly,महिला स्व-सहायता समूह वित्त पोषण,महिला स्वयं-मदत गट निधी,माइक्रोक्रेडिट और सशक्तीकरण,मायक्रोक्रेडिट आणि सशक्तीकरण,SHGs में महिलाएं,एसएचजी मध्ये महिला,ऋण और क्षमता निर्माण तक पहुंच,कर्ज आणि क्षमता इमारतीत प्रवेश,स्थानीय SHG महासंघ के माध्यम से आवेदन करें,स्थानिक एसएचजी फेडरेशनद्वारे अर्ज करा,ब्याज दर 10-14%,व्याज दर 10-14%,3 वर्ष,3 वर्षे
Senior Citizens Savings Scheme,Government,60+,All,All,All,Delhi,Savings and Retirement Planning,Senior citizens,Interest income with tax benefits,Apply at banks or post offices,http://savingsscheme.gov.in,Interest rate 7.4%,5 years,Minimum 1000 INR,Quarterly,वरिष्ठ नागरिक बचत योजना,ज्येष्ठ नागरिक बचत योजना,बचत और सेवानिवृत्ति योजना,बचत आणि सेवानिवृत्तीचे नियोजन,वरिष्ठ नागरिकों,ज्येष्ठ नागरिक,कर लाभों के साथ ब्याज आय,कर लाभासह व्याज उत्पन्न,बैंकों या डाकघरों में आवेदन करें,बँक किंवा पोस्ट ऑफिसवर अर्ज करा,ब्याज दर 7.4%,व्याज दर 7.4%,5 साल,5 वर्षे
Rural Business Development Fund,Private,36-60,All,SC,Middle,Uttar Pradesh,Microcredit and Business Development,Small rural entrepreneurs,Low-interest loans for business growth,Application at designated rural banks,http://ruralbank.org.in,Interest rate 9-11%,4 years,Up to 10 lakh INR,Monthly,ग्रामीण व्यवसाय विकास निधि,ग्रामीण व्यवसाय विकास निधी,माइक्रोक्रेडिट एंड बिजनेस डेवलपमेंट,मायक्रोक्रेडिट आणि व्यवसाय विकास,छोटे ग्रामीण उद्यमी,लहान ग्रामीण उद्योजक,व्यापार विकास के लिए कम ब्याज ऋण,व्यवसाय वाढीसाठी कमी व्याज कर्ज,नामित ग्रामीण बैंकों में आवेदन,नियुक्त केलेल्या ग्रामीण बँकांमध्ये अर्ज,ब्याज दर 9-11%,व्याज दर 9-11%,4 साल,4 वर्षे
Educational Loan Scheme for Minority Students,Government,19-35,All,Minority,Below Poverty Line,Haryana,Education,Minority students pursuing higher education,Educational loans with subsidized interest,Application through designated banks,http://eduloan.gov.in,Interest rate 5-8%,,Up to 20 lakh INR,Monthly,अल्पसंख्यक छात्रों के लिए शैक्षिक ऋण योजना,अल्पसंख्याक विद्यार्थ्यांसाठी शैक्षणिक कर्ज योजना,शिक्षा,शिक्षण,उच्च शिक्षा का पीछा करने वाले अल्पसंख्यक छात्र,अल्पसंख्याक विद्यार्थी उच्च शिक्षण घेतात,सब्सिडी वाले ब्याज के साथ शैक्षिक ऋण,अनुदानित स्वारस्यासह शैक्षणिक कर्ज,नामित बैंकों के माध्यम से आवेदन,नियुक्त केलेल्या बँकांद्वारे अर्ज करा,ब्याज दर 5-8%,व्याज दर 5-8%,,
